2025-12-13 23:51:41.745 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (19) from balance of Макс. Current balance: 426
2025-12-13 23:51:41.745 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(19) to balance of Биба (Goose)
2025-12-13 23:51:41.746 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Боба-Буба-Буба-Боба-Буба-Буба (hp=460), honk_volume=26
2025-12-13 23:51:41.746 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Боба-Буба-Буба-Боба-Буба-Буба
2025-12-13 23:51:41.746 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Боба-Буба-Буба-Буба (hp=330), honk_volume=16
2025-12-13 23:51:41.747 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Боба-Буба-Буба-Буба
2025-12-13 23:51:41.747 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Буба trying to steal 34 from player Макс
2025-12-13 23:51:41.747 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (34) from balance of Макс. Current balance: 392
2025-12-13 23:51:41.747 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(34) to balance of Буба (Goose)
2025-12-13 23:51:41.747 | INFO     | src.simulation.casino:steal_from_player:165 - SUCCESS - Goose Буба stole 34 from Макс.
2025-12-13 23:51:41.748 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Буба-Биба-Боба-Буба-Буба-Боба-Буба-Буба (hp=600), honk_volume=31
2025-12-13 23:51:41.748 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Буба-Биба-Боба-Буба-Буба-Боба-Буба-Буба
2025-12-13 23:51:41.748 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=10
2025-12-13 23:51:41.748 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.748 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (50) from balance of Олег. Current balance: 7359
2025-12-13 23:51:41.749 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (50) from balance of Макс. Current balance: 342
2025-12-13 23:51:41.749 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (50) from balance of Кира. Current balance: 9858
2025-12-13 23:51:41.749 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(150) to balance of Боба (Goose)
2025-12-13 23:51:41.749 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 150 from each player
2025-12-13 23:51:41.749 | INFO     | src.simulation.casino:_event_player_panic:334 - [PANIC] Макс lost half of his money: 171
2025-12-13 23:51:41.750 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (171) from balance of Макс. Current balance: 171
2025-12-13 23:51:41.750 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Боба-Буба-Буба trying to steal 40 from player Кира
2025-12-13 23:51:41.750 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (40) from balance of Кира. Current balance: 9818
2025-12-13 23:51:41.750 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(40) to balance of Боба-Буба-Буба (Goose)
2025-12-13 23:51:41.750 | INFO     | src.simulation.casino:steal_from_player:165 - SUCCESS - Goose Боба-Буба-Буба stole 40 from Кира.
2025-12-13 23:51:41.751 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Боба-Буба-Буба-Боба-Буба-Буба trying to steal 19 from player Кира
2025-12-13 23:51:41.751 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (19) from balance of Кира. Current balance: 9799
2025-12-13 23:51:41.751 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(19) to balance of Боба-Буба-Буба-Боба-Буба-Буба (Goose)
2025-12-13 23:51:41.751 | INFO     | src.simulation.casino:steal_from_player:165 - SUCCESS - Goose Боба-Буба-Буба-Боба-Буба-Буба stole 19 from Кира.
2025-12-13 23:51:41.751 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=13
2025-12-13 23:51:41.752 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.752 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (65) from balance of Олег. Current balance: 7294
2025-12-13 23:51:41.752 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (65) from balance of Макс. Current balance: 106
2025-12-13 23:51:41.752 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (65) from balance of Кира. Current balance: 9734
2025-12-13 23:51:41.752 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(195) to balance of Боба (Goose)
2025-12-13 23:51:41.752 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 195 from each player
2025-12-13 23:51:41.753 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Боба-Буба trying to steal 37 from player Макс
2025-12-13 23:51:41.753 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (37) from balance of Макс. Current balance: 69
2025-12-13 23:51:41.753 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(37) to balance of Боба-Буба (Goose)
2025-12-13 23:51:41.753 | INFO     | src.simulation.casino:steal_from_player:165 - SUCCESS - Goose Боба-Буба stole 37 from Макс.
2025-12-13 23:51:41.754 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Боба-Буба-Буба-Буба-Боба-Буба-Буба-Боба-Буба (hp=690), honk_volume=39
2025-12-13 23:51:41.754 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Боба-Буба-Буба-Буба-Боба-Буба-Буба-Боба-Буба
2025-12-13 23:51:41.754 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=17
2025-12-13 23:51:41.754 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.754 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (85) from balance of Олег. Current balance: 7209
2025-12-13 23:51:41.754 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (69) from balance of Макс. Current balance: 0
2025-12-13 23:51:41.755 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (85) from balance of Кира. Current balance: 9649
2025-12-13 23:51:41.755 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(239) to balance of Боба (Goose)
2025-12-13 23:51:41.755 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 239 from each player
2025-12-13 23:51:41.756 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Боба-Буба-Буба-Буба-Биба-Боба-Буба-Буба-Боба-Буба-Буба (hp=830), honk_volume=44
2025-12-13 23:51:41.756 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Боба-Буба-Буба-Буба-Биба-Боба-Буба-Буба-Боба-Буба-Буба
2025-12-13 23:51:41.756 | INFO     | src.simulation.casino:_event_player_panic:334 - [PANIC] Олег lost half of his money: 3604
2025-12-13 23:51:41.756 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (3604) from balance of Олег. Current balance: 3605
2025-12-13 23:51:41.757 | INFO     | src.entities.goose:attack:53 - [WarGoose] Биба attacks Олег for 17 damage
2025-12-13 23:51:41.757 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (17) from balance of Олег. Current balance: 3588
2025-12-13 23:51:41.757 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(17) to balance of Биба (Goose)
2025-12-13 23:51:41.758 | INFO     | src.simulation.casino:_event_player_panic:334 - [PANIC] Олег lost half of his money: 1794
2025-12-13 23:51:41.758 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (1794) from balance of Олег. Current balance: 1794
2025-12-13 23:51:41.758 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=18
2025-12-13 23:51:41.758 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.758 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (90) from balance of Олег. Current balance: 1704
2025-12-13 23:51:41.759 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (90) from balance of Кира. Current balance: 9559
2025-12-13 23:51:41.759 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(180) to balance of Боба (Goose)
2025-12-13 23:51:41.759 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 180 from each player
2025-12-13 23:51:41.760 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Буба-Боба-Буба (hp=230), honk_volume=13
2025-12-13 23:51:41.760 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Буба-Боба-Буба
